Name,Description,geometry
kml_83,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.663733703676 1.32361870985737 0, 103.663519745332 1.32349008328448 0, 103.663345676345 1.32347976157406 0, 103.663213649824 1.32353193588151 0, 103.663029393328 1.32363660832357 0)"
kml_84,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.74609106658 1.32373563269853 0, 103.74572271463 1.32384561737076 0, 103.745414635674 1.3239068652719 0, 103.745163518834 1.32391187822944 0)"
kml_85,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.745717221274 1.32452535039551 0, 103.745541379326 1.32415862923229 0, 103.745422405832 1.32404929105285 0, 103.745163518834 1.32391187822944 0)"
kml_86,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.723838044816 1.32473081337893 0, 103.722843028311 1.32437156140136 0)"
kml_87,AYER RAJAH EXPRESSWAY,"LINESTRING Z (103.745163518834 1.32391187822944 0, 103.744406306172 1.32393158061146 0, 103.743852952 1.32401819498519 0, 103.743627511343 1.32407181735211 0, 103.742760989298 1.32440085367787 0)"
kml_88,BUKIT TIMAH EXPRESSWAY,"LINESTRING Z (103.771539738619 1.42324051004995 0, 103.771444882424 1.42344735528333 0, 103.771389550755 1.42368602070024 0, 103.7712472682 1.42444975258964 0, 103.771072744566 1.42499536200302 0)"
kml_89,BUKIT TIMAH EXPRESSWAY,"LINESTRING Z (103.768703234801 1.43061118055872 0, 103.769717711126 1.42849119710439 0)"
kml_90,BUKIT TIMAH EXPRESSWAY,"LINESTRING Z (103.767640455122 1.43062350831205 0, 103.768122908215 1.4308656672228 0, 103.768233496655 1.4308835704446 0, 103.768344987196 1.43087269775322 0, 103.768450102108 1.43083376338819 0, 103.768703234801 1.43061118055872 0)"
kml_91,BUKIT TIMAH EXPRESSWAY,"LINESTRING Z (103.768930512148 1.43135825704316 0, 103.768758692273 1.43125704579629 0, 103.768667269002 1.43107884928159 0, 103.768640735432 1.43094740566325 0, 103.768642728675 1.43081329498264 0, 103.768703234801 1.43061118055872 0)"
kml_92,BUKIT TIMAH EXPRESSWAY,"LINESTRING Z (103.76827482114 1.43994541561293 0, 103.768283063348 1.43955507191027 0, 103.768337682715 1.43869870305795 0, 103.76834703997 1.43726274643611 0, 103.76842539978 1.43676811989685 0)"
kml_93,BUKIT TIMAH ROAD,"LINESTRING Z (103.844197064027 1.31106389498738 0, 103.844212370831 1.3108612087023 0, 103.844324137992 1.3105093000069 0)"
kml_94,BUKIT TIMAH ROAD,"LINESTRING Z (103.844197064027 1.31106389498738 0, 103.844083255934 1.31092763304252 0, 103.843963455727 1.31086126856178 0, 103.84381942631 1.31083192615553 0, 103.84353682736 1.31084487059804 0)"
kml_95,BUKIT TIMAH ROAD,"LINESTRING Z (103.844836710073 1.31294744502532 0, 103.844508544271 1.31208962405272 0, 103.844197064027 1.31106389498738 0)"
kml_96,BUKIT TIMAH ROAD,"LINESTRING Z (103.775630294559 1.33576682330263 0, 103.776110208896 1.33602862358081 0, 103.776902620808 1.33657431361532 0, 103.777247859062 1.33685990257308 0, 103.777538827954 1.33715168423386 0, 103.777930057291 1.33763614834018 0, 103.778003241292 1.33767455201468 0, 103.778155620736 1.33770744899859 0, 103.778368443974 1.33767842643016 0)"
kml_97,CAIRNHILL CIRCLE,"LINESTRING Z (103.840595956392 1.30722048009391 0, 103.8402141714 1.30681023329194 0, 103.840003025567 1.30655701263985 0, 103.839792866663 1.30641465804146 0)"
kml_98,CENTRAL EXPRESSWAY,"LINESTRING Z (103.8290357139 1.27907078171815 0, 103.82924542362 1.2790623380074 0, 103.829427539062 1.27917704794301 0, 103.829579844575 1.27933042213651 0)"
kml_99,CENTRAL EXPRESSWAY,"LINESTRING Z (103.829661298879 1.27865635203036 0, 103.829517665355 1.27899748370556 0, 103.829507472988 1.27916921083755 0, 103.829579844575 1.27933042213651 0)"
kml_100,CENTRAL EXPRESSWAY,"LINESTRING Z (103.829579844575 1.27933042213651 0, 103.830310660954 1.2803752639642 0)"
kml_101,CENTRAL EXPRESSWAY,"LINESTRING Z (103.8355864789 1.28358456379036 0, 103.835538426627 1.28336102019845 0, 103.835414572781 1.28323022923919 0, 103.834292696213 1.28281662494277 0, 103.833694654686 1.28253002461794 0)"
