address,latitude,longitude
204 PETIR RD,1.373175165,103.7748106
473 SEGAR RD,1.388237313,103.7721445
237 BT PANJANG RING RD,1.3785675609999999,103.7706474
539 BT PANJANG RING RD,1.382941791,103.7632483
516 JELAPANG RD,1.3873519380000001,103.7670418
217 PETIR RD,1.374180984,103.77439809999998
218 PETIR RD,1.37446598,103.7736063
517 JELAPANG RD,1.3878270990000001,103.7665688
652 SENJA LINK,1.387448623,103.7638472
624 SENJA RD,1.3862434030000002,103.76183759999999
629 SENJA RD,1.385977535,103.75896309999999
455 SEGAR RD,1.3875673569999998,103.7712122
176 LOMPANG RD,1.3792452990000001,103.7658816
418 FAJAR RD,1.384319661,103.76886590000001
484 SEGAR RD,1.38840059,103.77188220000001
140 PETIR RD,1.3755029909999998,103.7689524
152 GANGSA RD,1.375224695,103.7659225
537 BT PANJANG RING RD,1.3841162790000001,103.7628642
401 FAJAR RD,1.380554321,103.7687304
242 BT PANJANG RING RD,1.3800720880000001,103.7718336
613 BT PANJANG RING RD,1.384236786,103.7618809
654 SENJA RD,1.3875559309999999,103.7642821
536 JELAPANG RD,1.3842218309999998,103.76376690000001
154 GANGSA RD,1.374816801,103.7651093
174 LOMPANG RD,1.380215441,103.7663022
177 LOMPANG RD,1.380669849,103.7649552
606 SENJA RD,1.3812957469999998,103.7615713
650 SENJA LINK,1.38691071,103.7633102
228 PENDING RD,1.375346635,103.7709554
151 PETIR RD,1.377129628,103.7661712
4 TOH YI DR,1.3385120670000001,103.7745698
5 FARRER RD,1.31655991,103.8072881
15 TOH YI DR,1.339310858,103.7720515
9 JLN KUKOH,1.287674258,103.83885790000001
640 ROWELL RD,1.307435479,103.85471390000001
264 WATERLOO ST,1.299009418,103.8522849
32 NEW MKT RD,1.284858608,103.8425788
5 TG PAGAR PLAZA,1.27624052,103.8430061
271 QUEEN ST,1.300932673,103.85399100000001
232 BAIN ST,1.296853111,103.8533475
1C CANTONMENT RD,1.277449094,103.8416667
1F CANTONMENT RD,1.275986995,103.84119179999999
1B CANTONMENT RD,1.277799407,103.8414034
111 TECK WHYE LANE,1.3778790459999999,103.7521037
114 TECK WHYE LANE,1.3785079919999998,103.7507074
460 CHOA CHU KANG AVE 4,1.377822649,103.7350124
121 TECK WHYE LANE,1.378303571,103.75010809999999
404 CHOA CHU KANG AVE 3,1.3801296490000001,103.7388888
692B CHOA CHU KANG CRES,1.40067816,103.7513772
115 TECK WHYE LANE,1.37893678,103.7511824
422 CHOA CHU KANG AVE 4,1.382256818,103.7409574
680 CHOA CHU KANG CRES,1.4033361080000002,103.7451317
771 CHOA CHU KANG ST 54,1.3945329780000002,103.74996429999999
229 CHOA CHU KANG CTRL,1.3806537490000002,103.74636729999999
237 CHOA CHU KANG CTRL,1.3794475030000002,103.74828740000001
157 JLN TECK WHYE,1.379187865,103.7567829
416 CHOA CHU KANG AVE 4,1.383340496,103.7420833
414 CHOA CHU KANG AVE 4,1.382166605,103.7422483
239 CHOA CHU KANG CTRL,1.379448772,103.7475484
423 CHOA CHU KANG AVE 4,1.3820241469999999,103.74031070000001
621 CHOA CHU KANG ST 62,1.399146409,103.7472052
657 CHOA CHU KANG CRES,1.400445995,103.7498724
418 CHOA CHU KANG AVE 4,1.382373008,103.74135229999999
608 CHOA CHU KANG ST 62,1.398467599,103.7446458
412 CHOA CHU KANG AVE 3,1.381809725,103.7423816
635 CHOA CHU KANG NTH 6,1.3973709419999998,103.74960290000001
353 CHOA CHU KANG CTRL,1.382137071,103.7433975
453 CHOA CHU KANG AVE 4,1.379978028,103.73490600000001
689A CHOA CHU KANG DR,1.402989014,103.75032009999998
692A CHOA CHU KANG CRES,1.400209214,103.75127140000001
689B CHOA CHU KANG DR,1.4031348280000002,103.7497931
760 CHOA CHU KANG NTH 5,1.3930271269999999,103.7472725
544 CHOA CHU KANG ST 52,1.393717376,103.7437625
690A CHOA CHU KANG CRES,1.402776276,103.75153990000001
474 CHOA CHU KANG AVE 3,1.3786388840000001,103.7379059
248 CHOA CHU KANG AVE 2,1.379004596,103.745926
626 CHOA CHU KANG ST 62,1.398320829,103.7458781
789 CHOA CHU KANG NTH 6,1.39587445,103.7491625
671 CHOA CHU KANG CRES,1.4025550180000002,103.74802170000001
296B CHOA CHU KANG AVE 2,1.376847726,103.741509
604 CHOA CHU KANG ST 62,1.397442869,103.7451372
663 CHOA CHU KANG CRES,1.4019847509999999,103.7507884
101 TECK WHYE LANE,1.3778896459999999,103.75423990000002
715 CLEMENTI WEST ST 2,1.303153603,103.7619437
702 WEST COAST RD,1.307266926,103.76110770000001
607 CLEMENTI WEST ST 1,1.304235925,103.7678534
374 CLEMENTI AVE 4,1.3191261859999999,103.76698370000001
346 CLEMENTI AVE 5,1.317016551,103.7700552
109 CLEMENTI ST 11,1.321669866,103.7703516
339 CLEMENTI AVE 5,1.319663167,103.76913979999999
351 CLEMENTI AVE 2,1.31535007,103.7708614
334 CLEMENTI AVE 2,1.315185027,103.7684327
305 CLEMENTI AVE 4,1.322061089,103.766014
364 CLEMENTI AVE 2,1.312406419,103.76875229999999
371 CLEMENTI AVE 4,1.320574657,103.76821190000001
449 CLEMENTI AVE 3,1.313615679,103.76481
418 CLEMENTI AVE 1,1.310175719,103.7700032
730 CLEMENTI WEST ST 2,1.304777153,103.763122
716 CLEMENTI WEST ST 2,1.301917877,103.76307340000001
709 CLEMENTI WEST ST 2,1.3053304620000001,103.7620036
611 CLEMENTI WEST ST 1,1.303697399,103.76947690000002
348 CLEMENTI AVE 5,1.316777163,103.77089709999998
411 C'WEALTH AVE WEST,1.310879202,103.76957259999999
324 CLEMENTI AVE 5,1.315135091,103.76605450000001
307 CLEMENTI AVE 4,1.321415897,103.7671055
461 CLEMENTI AVE 3,1.311099155,103.7663995
723 CLEMENTI WEST ST 2,1.30310124,103.7634131
724 CLEMENTI WEST ST 2,1.30360871,103.76335909999999
46 CIRCUIT RD,1.326154695,103.88604699999999
43 CIRCUIT RD,1.326482283,103.8855449
30 BALAM RD,1.329654615,103.88718359999999
21 BALAM RD,1.3311972140000001,103.8869767
22 BALAM RD,1.330166195,103.8877853
47 CIRCUIT RD,1.325775271,103.8857036
67 CIRCUIT RD,1.3258485759999998,103.8879265
82 MACPHERSON LANE,1.332283325,103.88562009999998
37 CIRCUIT RD,1.328174693,103.88648420000001
24 BALAM RD,1.33018852,103.88750870000001
65 CIRCUIT RD,1.32740031,103.88720359999999
49 CIRCUIT RD,1.325132403,103.8856108
24 EUNOS CRES,1.323779951,103.9023304
302 UBI AVE 1,1.33002587,103.9009954
4 HAIG RD,1.3121012440000002,103.8971871
95 OLD AIRPORT RD,1.3084047779999999,103.8873475
36 CIRCUIT RD,1.3290260790000001,103.8869308
10 HAIG RD,1.3103135190000001,103.8976563
128 GEYLANG EAST AVE 1,1.318309195,103.887754
33 EUNOS CRES,1.320183255,103.90080490000001
344 UBI AVE 1,1.326359384,103.8997531
40 SIMS DR,1.31747603,103.8763541
54 PIPIT RD,1.32385645,103.8875854
42 SIMS DR,1.316668875,103.8760975
42 CIRCUIT RD,1.327467457,103.8862151
120 GEYLANG EAST CTRL,1.318211531,103.88475229999999
5 HAIG RD,1.312589174,103.8965912
134 GEYLANG EAST AVE 1,1.315993889,103.886009
411 EUNOS RD 5,1.3185941959999998,103.8996802
30 CASSIA CRES,1.309443155,103.8833363
986A BUANGKOK CRES,1.381916946,103.8798037
22 HOUGANG AVE 3,1.364285424,103.8904679
644 HOUGANG AVE 8,1.371437365,103.88126109999999
24 HOUGANG AVE 3,1.359612146,103.8919082
108 HOUGANG AVE 1,1.3527739330000002,103.89009320000001
619 HOUGANG AVE 8,1.3698477080000002,103.8837012
623 HOUGANG AVE 8,1.3705138730000002,103.8823235
311 HOUGANG AVE 5,1.365670731,103.8948582
501 HOUGANG AVE 8,1.372052696,103.8865314
